unique_id,date,warehouse,total_orders,sales,sell_price_main,availability,type_0_discount,type_1_discount,type_2_discount,type_3_discount,type_4_discount,type_5_discount,type_6_discount
8,2023-07-14,Budapest_1,5872.0,192.62,1091.14,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-04-25,Budapest_1,6814.0,170.73,1081.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04462
8,2023-06-07,Budapest_1,5867.0,81.62,1158.78,1.0,0.04731,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-10-26,Budapest_1,5496.0,335.43,820.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-04-09,Budapest_1,6724.0,190.52,1158.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-06-26,Budapest_1,5242.0,92.32,723.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-07-20,Budapest_1,5334.0,61.57,723.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-11-02,Budapest_1,5731.0,346.31,820.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-10-06,Budapest_1,6599.0,328.38,965.51,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-07-22,Budapest_1,5461.0,101.98,723.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-05-27,Budapest_1,5256.0,70.67,1352.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-10-14,Budapest_1,5766.0,498.25,965.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-12-01,Budapest_1,5889.0,275.44,965.51,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-04-26,Budapest_1,7142.0,169.28,1081.47,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-05-20,Budapest_1,5203.0,103.98,1091.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-10-03,Budapest_1,5571.0,259.39,704.61,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-09-18,Budapest_1,5836.0,183.08,965.51,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-08-01,Budapest_1,5252.0,98.77,675.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-07-09,Budapest_1,5408.0,68.33,1091.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-09-09,Budapest_1,5362.0,152.19,675.62,0.71,0.0,0.0,0.0,0.0,0.1001,0.0,0.0
8,2023-06-11,Budapest_1,5400.0,55.52,1158.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-07-16,Budapest_1,5374.0,200.0,965.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-05-08,Budapest_1,5671.0,157.87,1091.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-05-03,Budapest_1,5430.0,175.82,868.88,1.0,0.11123,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-05-24,Budapest_1,7251.0,434.39,965.51,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-08-21,Budapest_1,6004.0,133.06,965.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-05-06,Budapest_1,6550.0,349.75,1081.47,0.35,0.10724,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-05-11,Budapest_1,5981.0,146.33,1091.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-07-01,Budapest_1,5493.0,107.66,772.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-07-18,Budapest_1,5654.0,168.21,965.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-11-25,Budapest_1,6130.0,138.31,965.51,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-09-28,Budapest_1,5847.0,179.09,965.51,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-08-25,Budapest_1,5450.0,89.45,675.62,1.0,0.0,0.0,0.0,0.0,0.1001,0.0,0.0
8,2023-11-13,Budapest_1,6162.0,164.65,965.51,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-06-08,Budapest_1,5857.0,145.71,772.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-04-02,Budapest_1,6924.0,203.98,1158.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-05-29,Budapest_1,5003.0,79.59,772.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-04-12,Budapest_1,7194.0,498.59,1158.78,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-11-05,Budapest_1,5238.0,279.91,820.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-10-19,Budapest_1,6909.0,410.95,965.51,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-11-22,Budapest_1,6327.0,388.88,965.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-04-14,Budapest_1,4946.0,164.08,868.88,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-04-14,Budapest_1,6291.0,172.1,1158.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-11-24,Budapest_1,6814.0,552.59,965.51,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-09-29,Budapest_1,6487.0,100.42,965.51,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-04-20,Budapest_1,5707.0,98.48,868.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-05-25,Budapest_1,6334.0,109.26,1352.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-11-17,Budapest_1,5629.0,214.6,965.51,1.0,0.03308,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-04-17,Budapest_1,6603.0,176.59,1081.47,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-10-19,Budapest_1,5466.0,300.31,820.57,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-05-13,Budapest_1,5525.0,120.82,1352.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-08-06,Budapest_1,4997.0,138.09,675.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-05-31,Budapest_1,5725.0,93.34,1352.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-09-30,Budapest_1,5941.0,182.41,704.61,0.66,0.0,0.0,0.0,0.0,0.1001,0.0,0.0
8,2023-04-20,Budapest_1,5809.0,242.44,1091.14,0.42,0.25155,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-09-16,Budapest_1,5610.0,243.86,965.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-08-18,Budapest_1,6144.0,94.07,965.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-08-29,Budapest_1,5509.0,175.47,675.62,1.0,0.0,0.0,0.0,0.0,0.1001,0.0,0.0
8,2023-06-04,Budapest_1,5404.0,50.31,1352.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-08-31,Budapest_1,5418.0,102.93,675.62,1.0,0.0,0.0,0.0,0.0,0.1001,0.0,0.0
8,2024-04-15,Budapest_1,6606.0,227.28,1158.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-10-04,Budapest_1,5614.0,84.1,675.62,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-05-09,Budapest_1,5665.0,332.01,1091.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-05-29,Budapest_1,4574.0,40.77,1352.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-07-06,Budapest_1,5487.0,74.82,723.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-05-31,Budapest_1,5344.0,82.36,772.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-05-15,Budapest_1,5628.0,130.8,1352.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-05-04,Budapest_1,6062.0,227.11,1091.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-10-11,Budapest_1,6228.0,265.38,965.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-04-05,Budapest_1,5692.0,142.67,704.61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-07-05,Budapest_1,5322.0,68.3,723.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-11-14,Budapest_1,5449.0,98.42,965.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-06-26,Budapest_1,5640.0,65.25,1091.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-04-30,Budapest_1,6297.0,210.23,1081.47,0.13,0.10724,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-06-19,Budapest_1,5066.0,39.13,772.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-10-20,Budapest_1,5502.0,281.93,820.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-04-03,Budapest_1,4854.0,109.81,704.61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-06-06,Budapest_1,4639.0,218.1,772.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-10-13,Budapest_1,6764.0,369.9,965.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-08-26,Budapest_1,5460.0,97.3,965.51,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-05-17,Budapest_1,5575.0,92.21,1352.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-07-07,Budapest_1,5824.0,92.92,1091.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-08-28,Budapest_1,5998.0,122.71,965.51,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-09-07,Budapest_1,5998.0,125.08,965.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-05-05,Budapest_1,5664.0,208.33,868.88,1.0,0.11123,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-08-22,Budapest_1,5367.0,120.94,675.62,1.0,0.0,0.0,0.0,0.0,0.1001,0.0,0.0
8,2022-09-06,Budapest_1,5284.0,229.16,675.62,1.0,0.0,0.0,0.0,0.0,0.1001,0.0,0.0
8,2023-04-17,Budapest_1,5656.0,77.41,1091.14,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-10-20,Budapest_1,6743.0,212.16,965.51,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-08-11,Budapest_1,5767.0,50.53,965.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-05-01,Budapest_1,4291.0,251.87,1091.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-05-16,Budapest_1,5799.0,104.09,1352.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-04-27,Budapest_1,5658.0,300.57,868.88,1.0,0.22247,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-03-31,Budapest_1,3193.0,107.7,1158.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-10-12,Budapest_1,6047.0,285.11,965.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-07-01,Budapest_1,5180.0,70.61,1091.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-11-16,Budapest_1,5728.0,245.88,965.51,1.0,0.07104,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-04-26,Budapest_1,5809.0,321.79,1091.14,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-06-20,Budapest_1,5473.0,69.94,772.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-04-21,Budapest_1,5592.0,95.66,868.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-04-19,Budapest_1,5954.0,163.28,868.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-07-12,Budapest_1,5741.0,44.72,1091.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-10-05,Budapest_1,5610.0,230.75,675.62,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-11-26,Budapest_1,5253.0,227.49,965.51,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-11-08,Budapest_1,6620.0,395.18,965.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-08-03,Budapest_1,5670.0,38.18,965.51,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-10-30,Budapest_1,6467.0,158.07,965.51,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-06-24,Budapest_1,5233.0,49.6,1091.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-04-05,Budapest_1,7045.0,821.22,1158.78,1.0,0.22519,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-05-04,Budapest_1,6231.0,357.81,1081.47,0.61,0.10724,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-10-07,Budapest_1,5860.0,281.67,965.51,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-06-27,Budapest_1,5487.0,58.33,1091.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-06-05,Budapest_1,3309.0,109.19,772.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-10-30,Budapest_1,4861.0,309.36,820.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-09-26,Budapest_1,5775.0,227.14,965.51,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-06-09,Budapest_1,6195.0,82.13,1158.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-07-24,Budapest_1,5029.0,95.95,723.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-09-07,Budapest_1,5598.0,176.18,675.62,1.0,0.0,0.0,0.0,0.0,0.1001,0.0,0.0
8,2022-07-03,Budapest_1,5116.0,86.9,723.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-04-23,Budapest_1,5156.0,83.32,868.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-05-07,Budapest_1,6669.0,396.09,1081.47,1.0,0.10724,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-05-05,Budapest_1,6217.0,309.56,1091.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-09-12,Budapest_1,5891.0,229.75,965.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
